# IPv4 Streams
东南卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8?$HLJYD 2M HD
东南卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226377/index.m3u8?$HLJYD 1.5M SD
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8
东南卫视,http://118.249.192.169:8888/udp/239.76.245.190:1234
东南卫视,http://118.249.192.169:8888/udp/239.76.252.190:9000
东方卫视,http://58.39.190.143:35455/bptv/10000100000000050000000003873462.m3u8
东方卫视,http://58.39.190.143:35455/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://58.39.190.143:35455/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://58.39.190.143:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
东方卫视,http://39.134.65.106/PLTV/88888888/224/3221225942/1.m3u8?$HLJYDIP 8M FHD
东方卫视,http://39.134.65.106/PLTV/88888888/224/3221225672/1.m3u8?$HLJYDIP 4M FHD
东方卫视,http://39.134.65.106/PLTV/88888888/224/3221225673/1.m3u8?$HLJYDIP 4M FHD
东方卫视,http://39.134.65.106/PLTV/88888888/224/3221225960/1.m3u8?$HLJYDIP 2M SD
东方卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8?$HLJYD 8M FHD
东方卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8?$HLJYD 4M FHD
东方卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8?$HLJYD 4M FHD
东方卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226336/index.m3u8?$HLJYD 1.5M SD
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u
东方卫视,http://39.134.65.179/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://39.134.65.173/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://39.134.65.175/PLTV/88888888/224/3221225672/1.m3u8
东方卫视,http://118.249.192.169:8888/udp/239.76.246.186:1234
东方卫视,http://118.249.192.169:8888/udp/239.76.253.186:9000
东方影视,http://222.64.68.61:12028/udp/233.18.204.55:5140
东方财经,http://222.64.68.61:12028/udp/233.18.204.65:5140
中国功夫,http://39.134.65.106/PLTV/88888888/224/3221225604/1.m3u8?$HLJYDIP 4M FHD
中国功夫,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8?$HLJYD 2.5M FHD
中国教育1,http://118.249.192.169:8888/udp/239.76.245.192:1234
中国教育1,http://118.249.192.169:8888/udp/239.76.252.192:9000
中国教育1台,http://39.134.65.106/PLTV/88888888/224/3221225563/1.m3u8?$HLJYDIP 2M SD
中国教育1台,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8?$HLJYD 1.5M SD
中国教育2台,http://39.134.65.106/PLTV/88888888/224/3221226064/1.m3u8?$HLJYDIP 4M SD
中国教育2台,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8?$HLJYD 4M SD
中国教育4台,http://39.134.65.106/PLTV/88888888/224/3221225750/1.m3u8?$HLJYDIP 4M SD
中国教育4台,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8?$HLJYD 4M SD
乐游,http://222.64.68.61:12028/udp/233.18.204.47:5140
云南卫视,http://58.39.190.143:35455/itv/5000000011000031120.m3u8?cdn=bestzb
云南卫视,http://39.134.65.106/PLTV/88888888/224/3221225957/1.m3u8?$HLJYDIP 2M SD
云南卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8?$HLJYD 1.5M SD
云南卫视,http://118.249.192.169:8888/udp/239.76.254.60:9000
五星体育,http://222.64.68.61:12028/udp/233.18.204.58:5140
五福星,http://58.39.190.143:35455/huya/11282233
伊春新闻综合,http://39.134.65.106/PLTV/88888888/224/3221226041/1.m3u8?$HLJYDIP 2.5M SD
伊春新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226416/index.m3u8?$HLJYD 1.5M SD
优漫卡通,http://39.134.65.106/PLTV/88888888/224/3221225556/1.m3u8?$HLJYDIP 2M SD
优漫卡通,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8?$HLJYD 1.5M SD
体育,http://118.249.192.169:8888/udp/239.76.253.136:9000
佳木斯新闻综合,http://39.134.65.106/PLTV/88888888/224/3221225993/1.m3u8?$HLJYDIP 8M FHD
佳木斯新闻综合,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226451/index.m3u8?$HLJYD 2.5M FHD
使徒行者,http://58.39.190.143:35455/huya/23734256
倚天屠龙记,http://58.39.190.143:35455/huya/23734246
健康电视,http://118.249.192.169:8888/udp/239.76.246.127:1234
全纪实,http://118.249.192.169:8888/udp/239.76.246.137:1234
全纪实,http://118.249.192.169:8888/udp/239.76.253.137:9000
六安综合,http://124.95.180.107/1.v.smtcdns.net/live.ahsx.ahtv.cn/live/latv.m3u8
兵器科技,http://118.249.192.169:8888/udp/239.76.254.59:9000
兵团卫视,http://39.134.65.106/PLTV/88888888/224/3221226005/1.m3u8?$HLJYDIP 2M SD
兵团卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8?$HLJYD 1.5M SD
内蒙古卫视,http://39.134.65.106/PLTV/88888888/224/3221225577/1.m3u8?$HLJYDIP 2M SD
内蒙古卫视,http://39.134.65.106/PLTV/88888888/224/3221226017/1.m3u8?$HLJYDIP 2M SD
内蒙古卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8?$HLJYD 1.5M SD
内蒙古卫视,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8?$HLJYD 1.5M SD
军事评论,http://39.134.65.106/PLTV/88888888/224/3221225535/1.m3u8?$HLJYDIP 4M FHD
军事评论,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8?$HLJYD 2.5M FHD
军旅剧场,http://39.134.65.106/PLTV/88888888/224/3221225560/1.m3u8?$HLJYDIP 4M FHD
军旅剧场,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8?$HLJYD 2.5M FHD
农业致富,http://39.134.65.106/PLTV/88888888/224/3221225552/1.m3u8?$HLJYDIP 4M FHD
农业致富,http://39.134.65.106/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8?$HLJYD 4M FHD
农林卫视,http://112.46.85.60:8009/hls/27/index.m3u8
凤凰中文,http://124.95.180.107/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://39.164.174.139:5000/nl.m3u8?id=FHZWHD
凤凰中文,http://124.95.180.107:6718/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰中文,http://118.249.192.169:8888/udp/239.76.246.135:1234
凤凰中文,http://118.249.192.169:8888/udp/239.76.253.135:9000
凤凰中文,http://223.105.252.59/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://124.95.180.107/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
